ACCOUNTING_SUMMARY_ID,TRANS_DATE,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
141,08DEC2020:00:00:00,4774080001,0122020,VND,1363636,1363636,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
142,08DEC2020:00:00:00,4774080001,0122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
143,08DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
144,08DEC2020:00:00:00,4774070001,0122020,VND,1636364,1636364,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
145,08DEC2020:00:00:00,3391401000,0122020,VND,59086,59086,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
146,08DEC2020:00:00:00,4774080001,0122020,VND,1636364,1636364,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
147,08DEC2020:00:00:00,4774080000,0122020,VND,4800000,4800000,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
148,08DEC2020:00:00:00,3391401000,0122020,VND,136364,136364,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
149,08DEC2020:00:00:00,3391401000,0122020,VND,163636,163636,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
150,08DEC2020:00:00:00,3391401000,0122020,VND,54045,54045,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
151,08DEC2020:00:00:00,1341020000,0122020,VND,594500,594500,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
152,08DEC2020:00:00:00,1341020000,0122020,VND,649950,649950,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
153,08DEC2020:00:00:00,4774080001,0122020,VND,590864,590864,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
154,08DEC2020:00:00:00,4774070001,0122020,VND,1363636,1363636,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
155,08DEC2020:00:00:00,4774070000,0122020,VND,4800000,4800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
156,08DEC2020:00:00:00,1423004000,0122020,VND,1500000,1500000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
157,08DEC2020:00:00:00,4774070001,0122020,VND,590864,590864,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
158,08DEC2020:00:00:00,4774070001,0122020,VND,540455,540455,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
159,08DEC2020:00:00:00,1341020000,0122020,VND,1800000,1800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
160,08DEC2020:00:00:00,3393010001,0122020,VND,1636364,1636364,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
161,08DEC2020:00:00:00,3393010001,0122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
162,08DEC2020:00:00:00,3393010000,0122020,VND,4800000,4800000,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
163,08DEC2020:00:00:00,3393010001,0122020,VND,1363636,1363636,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
164,08DEC2020:00:00:00,3393010001,0122020,VND,590864,590864,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,99,baont,09DEC2020:16:28:00,,,,
351,15DEC2020:00:00:00,3393010000,0122020,VND,3000000,3000000,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,auto,16DEC2020:09:24:53,,,,
352,15DEC2020:00:00:00,3391401000,0122020,VND,115909,115909,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,auto,16DEC2020:09:24:53,,,,
353,15DEC2020:00:00:00,1423004000,0122020,VND,1275000,1275000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,auto,16DEC2020:09:24:53,,,,
354,15DEC2020:00:00:00,4774080001,0122020,VND,1159091,1159091,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,auto,16DEC2020:09:24:53,,,,
355,15DEC2020:00:00:00,4774080000,0122020,VND,3000000,3000000,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,auto,16DEC2020:09:24:53,,,,
356,15DEC2020:00:00:00,3393010001,0122020,VND,1159091,1159091,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,auto,16DEC2020:09:24:53,,,,
357,15DEC2020:00:00:00,4774070000,0122020,VND,3000000,3000000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,auto,16DEC2020:09:24:53,,,,
358,15DEC2020:00:00:00,1341020000,0122020,VND,3000000,3000000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,auto,16DEC2020:09:24:53,,,,
359,15DEC2020:00:00:00,4774070001,0122020,VND,1159091,1159091,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,auto,16DEC2020:09:24:53,,,,
211,09DEC2020:00:00:00,4774070001,0122020,VND,3825000,3825000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
212,09DEC2020:00:00:00,4774080001,0122020,VND,1295455,1295455,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
213,09DEC2020:00:00:00,1341020000,0122020,VND,630000,630000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
214,09DEC2020:00:00:00,4774070001,0122020,VND,1227273,1227273,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
215,09DEC2020:00:00:00,3391401000,0122020,VND,129545,129545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
216,09DEC2020:00:00:00,1423004000,0122020,VND,4207500,4207500,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
217,09DEC2020:00:00:00,4774080001,0122020,VND,3825000,3825000,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
218,09DEC2020:00:00:00,3393010001,0122020,VND,1295455,1295455,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
219,09DEC2020:00:00:00,1341020000,0122020,VND,549500,549500,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
220,09DEC2020:00:00:00,3393010001,0122020,VND,499545,499545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
221,09DEC2020:00:00:00,3391401000,0122020,VND,122727,122727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
222,09DEC2020:00:00:00,1423004000,0122020,VND,1425000,1425000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
223,09DEC2020:00:00:00,3393010001,0122020,VND,3825000,3825000,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
224,09DEC2020:00:00:00,4774070001,0122020,VND,1295455,1295455,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
225,09DEC2020:00:00:00,1423004000,0122020,VND,1350000,1350000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
226,09DEC2020:00:00:00,4774070001,0122020,VND,499545,499545,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
227,09DEC2020:00:00:00,3391401000,0122020,VND,49955,49955,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
228,09DEC2020:00:00:00,3391401000,0122020,VND,57273,57273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
229,09DEC2020:00:00:00,1341020000,0122020,VND,950000,950000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
230,09DEC2020:00:00:00,3393010001,0122020,VND,572727,572727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
231,09DEC2020:00:00:00,3393010001,0122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
232,09DEC2020:00:00:00,4774070001,0122020,VND,572727,572727,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
233,09DEC2020:00:00:00,3391401000,0122020,VND,86364,86364,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
234,09DEC2020:00:00:00,3391401000,0122020,VND,382500,382500,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
235,09DEC2020:00:00:00,4774080001,0122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
236,09DEC2020:00:00:00,4774070001,0122020,VND,863636,863636,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
237,09DEC2020:00:00:00,4774080001,0122020,VND,499545,499545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
238,09DEC2020:00:00:00,4774080001,0122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
239,09DEC2020:00:00:00,4774080001,0122020,VND,572727,572727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
240,09DEC2020:00:00:00,3393010001,0122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
241,11DEC2020:00:00:00,4774070000,0122020,VND,4800000,4800000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
242,11DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
243,11DEC2020:00:00:00,3391401000,0122020,VND,115909,115909,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
244,11DEC2020:00:00:00,1423004000,0122020,VND,1275000,1275000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
245,11DEC2020:00:00:00,3393010001,0122020,VND,1159091,1159091,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
246,11DEC2020:00:00:00,3393010000,0122020,VND,4800000,4800000,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
247,11DEC2020:00:00:00,4774080000,0122020,VND,4800000,4800000,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
248,11DEC2020:00:00:00,4774070001,0122020,VND,1159091,1159091,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
249,11DEC2020:00:00:00,4774080001,0122020,VND,1159091,1159091,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
101,01DEC2020:00:00:00,3393010001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
102,01DEC2020:00:00:00,3391401000,122020,VND,63632,63632,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
103,01DEC2020:00:00:00,3391401000,122020,VND,245455,245455,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
104,01DEC2020:00:00:00,4774070001,122020,VND,2454545,2454545,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
105,01DEC2020:00:00:00,1341020000,122020,VND,699950,699950,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
106,01DEC2020:00:00:00,4774080001,122020,VND,636318,636318,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
107,01DEC2020:00:00:00,4774080001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
108,01DEC2020:00:00:00,1423004000,122020,VND,2700000,2700000,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
109,01DEC2020:00:00:00,3393010001,122020,VND,636318,636318,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
110,01DEC2020:00:00:00,4774070001,122020,VND,636318,636318,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
323,14DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
324,14DEC2020:00:00:00,1341020000,0122020,VND,1200000,1200000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
325,14DEC2020:00:00:00,3393010001,0122020,VND,8345454,8345454,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
326,14DEC2020:00:00:00,3393010001,0122020,VND,2250000,2250000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
327,14DEC2020:00:00:00,4774070001,0122020,VND,863636,863636,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
328,14DEC2020:00:00:00,4774070001,0122020,VND,572727,572727,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
329,14DEC2020:00:00:00,4774070000,0122020,VND,12600000,12600000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
330,14DEC2020:00:00:00,4774070000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
331,14DEC2020:00:00:00,4774080000,0122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
332,14DEC2020:00:00:00,4774080001,0122020,VND,2250000,2250000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
333,14DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
334,14DEC2020:00:00:00,4774070001,0122020,VND,8345454,8345454,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
335,14DEC2020:00:00:00,3393010000,0122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
336,14DEC2020:00:00:00,3391401000,0122020,VND,834546,834546,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
337,14DEC2020:00:00:00,1341020000,0122020,VND,7800000,7800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
338,14DEC2020:00:00:00,4774080000,0122020,VND,12600000,12600000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
339,14DEC2020:00:00:00,3393010001,0122020,VND,572727,572727,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
340,14DEC2020:00:00:00,4774070001,0122020,VND,2250000,2250000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
341,14DEC2020:00:00:00,1423004000,0122020,VND,9180000,9180000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
342,14DEC2020:00:00:00,3393010001,0122020,VND,863636,863636,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
343,14DEC2020:00:00:00,3393010000,0122020,VND,12600000,12600000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
344,14DEC2020:00:00:00,3391401000,0122020,VND,225000,225000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
345,14DEC2020:00:00:00,1423004000,0122020,VND,1275000,1275000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
346,14DEC2020:00:00:00,4774080001,0122020,VND,8345454,8345454,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
