,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
724,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
725,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
726,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,590864,590864,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
727,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
728,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
729,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
1007,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,3393010000,122020,VND,3000000,3000000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1008,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,1341020000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
1009,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,1341020000,122020,VND,3000000,3000000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1010,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774080000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
1011,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774080000,122020,VND,3000000,3000000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1012,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,1090909,1090909,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
701,08DEC2020:00:00:00,2012051858,100235495,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774070000,122020,VND,4800000,4800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,NPCDZO,99,baont,09DEC2020:16:27:43,,,,
702,08DEC2020:00:00:00,2012051858,100235495,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,3393010000,122020,VND,4800000,4800000,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,NPCDZO,99,baont,09DEC2020:16:27:43,,,,
703,08DEC2020:00:00:00,2012051858,100235495,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,1423004000,122020,VND,4800000,4800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,NPCDZO,99,baont,09DEC2020:16:27:43,,,,
704,08DEC2020:00:00:00,2012051858,100235495,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774080000,122020,VND,4800000,4800000,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,NPCDZO,99,baont,09DEC2020:16:27:43,,,,
705,08DEC2020:00:00:00,2012051849,100235493,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,1363636,1363636,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
706,08DEC2020:00:00:00,2012051849,100235493,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,136364,136364,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
1021,14DEC2020:00:00:00,2012071972,100235531,SUBVENTION_AMORTIZATION_VAT_POST,SUBVENTION AMORTIZATION,3393010001,122020,VND,863636,863636,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,15DEC2020:10:07:07,,,,
1022,14DEC2020:00:00:00,2012071983,100235533,SUBVENTION_AMORTIZATION_VAT_POST,SUBVENTION AMORTIZATION,3393010001,122020,VND,572727,572727,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,15DEC2020:10:07:07,,,,
1023,14DEC2020:00:00:00,2012071972,100235531,SUBVENTION_AMORTIZATION_VAT_POST,SUBVENTION AMORTIZATION,4774070001,122020,VND,863636,863636,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,15DEC2020:10:07:07,,,,
1024,14DEC2020:00:00:00,2012071983,100235533,SUBVENTION_AMORTIZATION_VAT_POST,SUBVENTION AMORTIZATION,4774070001,122020,VND,572727,572727,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,15DEC2020:10:07:07,,,,
1031,15DEC2020:00:00:00,2012142453,100235697,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,1159091,1159091,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,auto,16DEC2020:09:24:53,,,,
1032,15DEC2020:00:00:00,2012142453,100235697,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,115909,115909,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,auto,16DEC2020:09:24:53,,,,
1033,15DEC2020:00:00:00,2012142453,100235697,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,1275000,1275000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,auto,16DEC2020:09:24:53,,,,
1034,15DEC2020:00:00:00,2012142453,100235697,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,1159091,1159091,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,auto,16DEC2020:09:24:53,,,,
1035,15DEC2020:00:00:00,2012142453,100235697,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1159091,1159091,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,auto,16DEC2020:09:24:53,,,,
1036,15DEC2020:00:00:00,2012142450,100235695,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774070000,122020,VND,3000000,3000000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,auto,16DEC2020:09:24:53,,,,
1037,15DEC2020:00:00:00,2012142450,100235695,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,3393010000,122020,VND,3000000,3000000,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,auto,16DEC2020:09:24:53,,,,
1038,15DEC2020:00:00:00,2012142450,100235695,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,1341020000,122020,VND,3000000,3000000,D,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,auto,16DEC2020:09:24:53,,,,
1039,15DEC2020:00:00:00,2012142450,100235695,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774080000,122020,VND,3000000,3000000,C,LMSS,LMSS15122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,auto,16DEC2020:09:24:53,,,,
941,09DEC2020:00:00:00,2012071913,100235579,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,3825000,3825000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
942,09DEC2020:00:00:00,2012071903,100235523,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,1295455,1295455,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
943,09DEC2020:00:00:00,2012071904,100235525,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,1227273,1227273,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
944,09DEC2020:00:00:00,2012071913,100235579,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,382500,382500,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
945,09DEC2020:00:00:00,2012071903,100235523,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,129545,129545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
946,09DEC2020:00:00:00,2012071904,100235525,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,122727,122727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
947,09DEC2020:00:00:00,2012071913,100235579,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,4207500,4207500,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
948,09DEC2020:00:00:00,2012071903,100235523,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,1425000,1425000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
949,09DEC2020:00:00:00,2012071904,100235525,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,1350000,1350000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
950,09DEC2020:00:00:00,2012071913,100235579,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,3825000,3825000,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
951,09DEC2020:00:00:00,2012071903,100235523,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,1295455,1295455,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
952,09DEC2020:00:00:00,2012071904,100235525,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
953,09DEC2020:00:00:00,2012071913,100235579,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,3825000,3825000,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
954,09DEC2020:00:00:00,2012071903,100235523,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1295455,1295455,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
955,09DEC2020:00:00:00,2012071904,100235525,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
956,09DEC2020:00:00:00,2012071943,100235587,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,499545,499545,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,14DEC2020:13:51:31,,,,
957,09DEC2020:00:00:00,2012071972,100235531,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,863636,863636,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
958,09DEC2020:00:00:00,2012071983,100235533,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,572727,572727,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
959,09DEC2020:00:00:00,2012071943,100235587,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,49955,49955,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,14DEC2020:13:51:31,,,,
960,09DEC2020:00:00:00,2012071972,100235531,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,86364,86364,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
961,09DEC2020:00:00:00,2012071983,100235533,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,57273,57273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
962,09DEC2020:00:00:00,2012071943,100235587,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,549500,549500,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,14DEC2020:13:51:31,,,,
963,09DEC2020:00:00:00,2012071972,100235531,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,950000,950000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
964,09DEC2020:00:00:00,2012071983,100235533,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,630000,630000,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
965,09DEC2020:00:00:00,2012071943,100235587,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,499545,499545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,14DEC2020:13:51:31,,,,
966,09DEC2020:00:00:00,2012071972,100235531,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
967,09DEC2020:00:00:00,2012071983,100235533,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,572727,572727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
968,09DEC2020:00:00:00,2012071943,100235587,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,499545,499545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,14DEC2020:13:51:31,,,,
969,09DEC2020:00:00:00,2012071972,100235531,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
970,09DEC2020:00:00:00,2012071983,100235533,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,572727,572727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,FTCDZO,99,baont,14DEC2020:13:51:31,,,,
1013,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,109091,109091,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
1014,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,1200000,1200000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
1015,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,1090909,1090909,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
1016,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,1090909,1090909,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
